# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_4d9ba28ffb1aeb219300be003f2a12dc_model
# start_datetime = 2026-03-21 22:42:57 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 0.001
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpAOmAIk/standata-6c845ffc50e5.json
# init = 2 (Default)
# random
#   seed = 1266802457
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpAOmAIk/model_4d9ba28ffb1aeb219300be003f2a12dc-202603211742-1-3b14b3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpAOmAIk/model_4d9ba28ffb1aeb219300be003f2a12dc-profile-202603211742-1-066c39.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_4d9ba28ffb1aeb219300be003f2a12dc_model
lp_approx__,lp__,path__,Vc.1,Vc.2,Vc.3,Vc.4,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4
-13.678217, -448.94742, 1, 0.057959046, 0.023269268, 0.58711476, 0.33165693, -0.27347305, -0.028710797, -0.44731934, 1.2234116, 1.2391824, 1.3944218, 2.3157982, 1.6993153, 1.0079096, -2.1495935, -2.4671563, -1.480628, -3.2093646, -2.9907507, -3.5014333, 6.3002238, 2.7599546, 1.2083284, 1.5089486, 2.2698681, 1.2317767, 1.2666984, 1.3956253, 13.94384, 3.8436514, 4.7089378, 3.0562571, 12.594871, 4.3523493, 3.0227232, -2.8480186, -3.7606218, -0.53253498, -1.1036542, 0.43205467, 0.49282279, 0.38999831, 0.77266338, 0.77542166, 0.80129722, 0.91017701, 0.84544529, 0.73261086, 0.10436921, 0.078192959, 0.18533258, 0.038814834, 0.047845478, 0.029271478, 0.99759249, 0.93884529, 0.68157277, 0.93890936, 0.77542166, 0.80129722, 0.91017701, 0.84544529, 0.73261086, 0.10436921, 0.078192959, 0.18533258, 0.038814834, 0.047845478, 0.029271478, 0.99759249, 0.93884529, 0.68157277, 0.93890936, 0.97094419, 0.93252876, 0.97294608, 0.95668357, 0.99999968, 0.10436921, 0.078192959, 0.18533258, 0.038814834, 0.047845478, 0.029271478, 0.99759249, 0.93884529, 0.68157277, 0.93890936, 0.97094419, 0.93252876, 0.97294608, 0.95668357, 0.99999968, 0.84475706, 0.90393926, 0.8285846, 0.99991608, 0.79601938, 0.38255678
-11.200584, -449.43291, 1, 0.026788001, 0.033172658, 0.61487035, 0.32516899, 0.070124864, -0.13422411, -0.46913741, 1.5946759, 1.4148139, 1.6736875, 1.7883244, -0.99971177, 0.8833454, -2.695717, -2.2778714, -1.6196824, -2.8991157, -2.2951525, -3.8930822, 5.4229942, 2.59688, 1.0657894, 1.3044686, 1.3601122, 2.4006986, 1.1062908, 2.4094417, 3.8357928, 4.920467, 5.6871417, 2.5818269, 4.9300799, 3.5104805, 2.7140235, -3.6198012, -3.4060293, -0.48634385, -1.1234103, 0.51752404, 0.46649426, 0.38482043, 0.83127295, 0.80452412, 0.84206684, 0.85672172, 0.26899809, 0.70751499, 0.063226561, 0.092972295, 0.16524868, 0.052197294, 0.091525223, 0.019975282, 0.99590187, 0.92148204, 0.64488996, 0.94780413, 0.80452412, 0.84206684, 0.85672172, 0.26899809, 0.70751499, 0.063226561, 0.092972295, 0.16524868, 0.052197294, 0.091525223, 0.019975282, 0.99590187, 0.92148204, 0.64488996, 0.94780413, 0.94130574, 0.98328161, 0.94757961, 0.80372335, 0.99115605, 0.063226561, 0.092972295, 0.16524868, 0.052197294, 0.091525223, 0.019975282, 0.99590187, 0.92148204, 0.64488996, 0.94780413, 0.94130574, 0.98328161, 0.94757961, 0.80372335, 0.99115605, 0.90245016, 0.967993, 0.72355097, 0.88400998, 0.77124031, 0.2352215
-10.898082, -445.53026, 1, 0.11404055, 0.024165307, 0.52738811, 0.33440603, 0.27879634, 0.28473423, -1.0619335, 1.4781395, 1.3484618, 1.480957, 2.4260563, -0.6177411, 1.4303067, -2.1963728, -2.639662, -1.9194255, -3.5027286, -3.1423216, -3.8538169, 5.1770422, 6.1001412, 1.814864, 1.7625205, 1.0924948, 1.449989, 1.1651756, 2.3921025, 4.024288, 3.0973075, 5.4599952, 2.9601283, 9.6462344, 4.0531781, 3.6018272, -2.1712012, -3.7228373, -0.63981854, -1.0953994, 0.56925111, 0.5707065, 0.25694014, 0.8142914, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.71114155, 0.94376475, 0.73898558, 0.99785722, 0.71317539, 0.43733384
-10.898082, -445.53026, 1, 0.11404055, 0.024165307, 0.52738811, 0.33440603, 0.27879634, 0.28473423, -1.0619335, 1.4781395, 1.3484618, 1.480957, 2.4260563, -0.6177411, 1.4303067, -2.1963728, -2.639662, -1.9194255, -3.5027286, -3.1423216, -3.8538169, 5.1770422, 6.1001412, 1.814864, 1.7625205, 1.0924948, 1.449989, 1.1651756, 2.3921025, 4.024288, 3.0973075, 5.4599952, 2.9601283, 9.6462344, 4.0531781, 3.6018272, -2.1712012, -3.7228373, -0.63981854, -1.0953994, 0.56925111, 0.5707065, 0.25694014, 0.8142914, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.71114155, 0.94376475, 0.73898558, 0.99785722, 0.71317539, 0.43733384
-10.898082, -445.53026, 1, 0.11404055, 0.024165307, 0.52738811, 0.33440603, 0.27879634, 0.28473423, -1.0619335, 1.4781395, 1.3484618, 1.480957, 2.4260563, -0.6177411, 1.4303067, -2.1963728, -2.639662, -1.9194255, -3.5027286, -3.1423216, -3.8538169, 5.1770422, 6.1001412, 1.814864, 1.7625205, 1.0924948, 1.449989, 1.1651756, 2.3921025, 4.024288, 3.0973075, 5.4599952, 2.9601283, 9.6462344, 4.0531781, 3.6018272, -2.1712012, -3.7228373, -0.63981854, -1.0953994, 0.56925111, 0.5707065, 0.25694014, 0.8142914, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.71114155, 0.94376475, 0.73898558, 0.99785722, 0.71317539, 0.43733384
-10.898082, -445.53026, 1, 0.11404055, 0.024165307, 0.52738811, 0.33440603, 0.27879634, 0.28473423, -1.0619335, 1.4781395, 1.3484618, 1.480957, 2.4260563, -0.6177411, 1.4303067, -2.1963728, -2.639662, -1.9194255, -3.5027286, -3.1423216, -3.8538169, 5.1770422, 6.1001412, 1.814864, 1.7625205, 1.0924948, 1.449989, 1.1651756, 2.3921025, 4.024288, 3.0973075, 5.4599952, 2.9601283, 9.6462344, 4.0531781, 3.6018272, -2.1712012, -3.7228373, -0.63981854, -1.0953994, 0.56925111, 0.5707065, 0.25694014, 0.8142914, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.79387804, 0.81471709, 0.91879277, 0.35029538, 0.8069491, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.10007669, 0.066629053, 0.12792564, 0.029234692, 0.041394895, 0.020758614, 0.99574687, 0.99831596, 0.67981691, 0.96233604, 0.9198976, 0.94935518, 0.97317506, 0.85499922, 0.9957416, 0.71114155, 0.94376475, 0.73898558, 0.99785722, 0.71317539, 0.43733384
-9.7327141, -447.75673, 1, 0.04213645, 0.037070274, 0.60449239, 0.31630088, 1.5069833, -2.0060929, -0.8187739, 2.4410736, 1.2102498, 0.95330803, 2.4728273, -0.91040912, 1.6474096, -2.2573137, -2.1683907, -1.3666106, -3.3482398, -2.2394849, -4.0173829, 3.8052855, 4.689601, 1.6410066, 1.4755883, 1.8673852, 2.4485936, 1.5166252, 2.1754966, 6.1361947, 3.1894595, 4.3546411, 1.9480209, 8.227267, 4.4228906, 3.9766286, -3.1668421, -3.2949399, -0.50336619, -1.1510614, 0.81861371, 0.11856469, 0.30602399, 0.91990623, 0.77034314, 0.72177996, 0.92221482, 0.28691613, 0.83854064, 0.094720469, 0.10262514, 0.203168, 0.033952851, 0.096260339, 0.01768174, 0.99509347, 0.93604645, 0.69471008, 0.98048113, 0.77034314, 0.72177996, 0.92221482, 0.28691613, 0.83854064, 0.094720469, 0.10262514, 0.203168, 0.033952851, 0.096260339, 0.01768174, 0.99509347, 0.93604645, 0.69471008, 0.98048113, 0.95596072, 0.96776391, 0.98182654, 0.77990064, 0.99958367, 0.094720469, 0.10262514, 0.203168, 0.033952851, 0.096260339, 0.01768174, 0.99509347, 0.93604645, 0.69471008, 0.98048113, 0.95596072, 0.96776391, 0.98182654, 0.77990064, 0.99958367, 0.71751044, 0.89900797, 0.64139184, 0.99245298, 0.89874941, 0.48981284
-12.648455, -447.7844, 1, 0.053761278, 0.02936436, 0.55202032, 0.36485405, 2.1361276, -1.355884, -0.59183668, 2.1193511, 2.0373047, 1.2253328, 2.2042081, -0.83725602, 1.7549514, -2.4569435, -3.2714868, -2.1173809, -3.5145723, -2.5995134, -3.7043226, 2.7986191, 7.3396651, 1.2537948, 1.4118962, 1.3395878, 2.6710806, 0.46220352, 3.7832478, 3.5147523, 3.5873479, 6.1172615, 2.6715442, 6.6243196, 3.3845485, 3.490719, -2.9232018, -3.5279736, -0.59417043, -1.0082579, 0.89436532, 0.20491007, 0.35621355, 0.89276982, 0.88465853, 0.77300066, 0.90062677, 0.30211301, 0.85257623, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.88465853, 0.77300066, 0.90062677, 0.30211301, 0.85257623, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.96697451, 0.98008983, 0.93501534, 0.95007371, 0.9948812, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.96697451, 0.98008983, 0.93501534, 0.95007371, 0.9948812, 0.75591352, 0.94509986, 0.63510098, 0.95729302, 0.68676428, 0.4468012
-12.648455, -447.7844, 1, 0.053761278, 0.02936436, 0.55202032, 0.36485405, 2.1361276, -1.355884, -0.59183668, 2.1193511, 2.0373047, 1.2253328, 2.2042081, -0.83725602, 1.7549514, -2.4569435, -3.2714868, -2.1173809, -3.5145723, -2.5995134, -3.7043226, 2.7986191, 7.3396651, 1.2537948, 1.4118962, 1.3395878, 2.6710806, 0.46220352, 3.7832478, 3.5147523, 3.5873479, 6.1172615, 2.6715442, 6.6243196, 3.3845485, 3.490719, -2.9232018, -3.5279736, -0.59417043, -1.0082579, 0.89436532, 0.20491007, 0.35621355, 0.89276982, 0.88465853, 0.77300066, 0.90062677, 0.30211301, 0.85257623, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.88465853, 0.77300066, 0.90062677, 0.30211301, 0.85257623, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.96697451, 0.98008983, 0.93501534, 0.95007371, 0.9948812, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.96697451, 0.98008983, 0.93501534, 0.95007371, 0.9948812, 0.75591352, 0.94509986, 0.63510098, 0.95729302, 0.68676428, 0.4468012
-12.648455, -447.7844, 1, 0.053761278, 0.02936436, 0.55202032, 0.36485405, 2.1361276, -1.355884, -0.59183668, 2.1193511, 2.0373047, 1.2253328, 2.2042081, -0.83725602, 1.7549514, -2.4569435, -3.2714868, -2.1173809, -3.5145723, -2.5995134, -3.7043226, 2.7986191, 7.3396651, 1.2537948, 1.4118962, 1.3395878, 2.6710806, 0.46220352, 3.7832478, 3.5147523, 3.5873479, 6.1172615, 2.6715442, 6.6243196, 3.3845485, 3.490719, -2.9232018, -3.5279736, -0.59417043, -1.0082579, 0.89436532, 0.20491007, 0.35621355, 0.89276982, 0.88465853, 0.77300066, 0.90062677, 0.30211301, 0.85257623, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.88465853, 0.77300066, 0.90062677, 0.30211301, 0.85257623, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.96697451, 0.98008983, 0.93501534, 0.95007371, 0.9948812, 0.078932263, 0.036562418, 0.10741894, 0.028900436, 0.069169746, 0.024025454, 0.99285908, 0.99748705, 0.65970012, 0.97156389, 0.96697451, 0.98008983, 0.93501534, 0.95007371, 0.9948812, 0.75591352, 0.94509986, 0.63510098, 0.95729302, 0.68676428, 0.4468012
