# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_cbf2159c6af071b2162bd957a23704a5_model
# start_datetime = 2026-03-16 14:27:59 UTC
# method = pathfinder
#   pathfinder
#     init_alpha = 0.001 (Default)
#     tol_obj = 1e-12 (Default)
#     tol_rel_obj = 0.001
#     tol_grad = 1e-08 (Default)
#     tol_rel_grad = 1e+07 (Default)
#     tol_param = 1e-08 (Default)
#     history_size = 5 (Default)
#     num_psis_draws = 2000
#     num_paths = 4 (Default)
#     save_single_paths = false (Default)
#     psis_resample = true (Default)
#     calculate_lp = true (Default)
#     max_lbfgs_iters = 1000 (Default)
#     num_draws = 1000 (Default)
#     num_elbo_draws = 25 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpRTZiXX/standata-f834607b58ec.json
# init = 2 (Default)
# random
#   seed = 1158180261
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpRTZiXX/model_cbf2159c6af071b2162bd957a23704a5-202603160927-1-931d5a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpRTZiXX/model_cbf2159c6af071b2162bd957a23704a5-profile-202603160927-1-100ce8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_cbf2159c6af071b2162bd957a23704a5_model
lp_approx__,lp__,path__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l1_11,l2_11,l3_11,l4_11,l5_12,l6_12,l7_12,l8_12,l9_12,l10_13,l11_13,l12_13,l13_13,l14_13,l15_13,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8
-25.326954, -461.20576, 1, 0.037771747, 0.042020913, 0.061268015, 0.04574077, 0.39923993, 0.2574936, 0.028275235, 0.12818979, 1.883361, 2.1146686, 0.071775583, 1.2445698, 2.4664871, 2.111757, 1.5338195, 0.7743588, 2.5716833, -2.4081843, -2.6617792, -1.5797869, -5.0613435, -3.8908533, -3.7206829, 3.5793707, 1.8415262, 1.2103135, 1.2431211, 2.3142664, 2.2016008, 0.78706761, 2.0202075, 1.6460591, 4.0899343, 7.8087751, 2.612722, 8.1366365, 4.5987644, 2.5340149, -3.2761939, -3.1695879, -2.7924974, -3.0847653, -0.91819272, -1.3567604, -3.5657689, -2.0542434, 0.8679967, 0.89232074, 0.5179362, 0.77635846, 0.92175879, 0.89204066, 0.82256446, 0.68446303, 0.92901678, 0.082550731, 0.065266708, 0.17082566, 0.006297135, 0.020018962, 0.023644807, 0.99577597, 0.98122351, 0.78280517, 0.92327439, 0.92175879, 0.89204066, 0.82256446, 0.68446303, 0.92901678, 0.082550731, 0.065266708, 0.17082566, 0.006297135, 0.020018962, 0.023644807, 0.8679967, 0.89232074, 0.5179362, 0.77635846, 0.99168013, 0.98678837, 0.91059219, 0.94238149, 0.98548201, 0.082550731, 0.065266708, 0.17082566, 0.006297135, 0.020018962, 0.023644807, 0.8679967, 0.89232074, 0.5179362, 0.77635846, 0.92175879, 0.89204066, 0.82256446, 0.68446303, 0.92901678, 0.84313612, 0.99421679, 0.73748452, 0.95586202, 0.66993943, 0.2338554, 0.99577597, 0.98122351, 0.78280517, 0.92327439, 0.99168013, 0.98678837, 0.91059219, 0.94238149, 0.98548201, 0.082550731, 0.065266708, 0.17082566, 0.006297135, 0.020018962, 0.023644807, 0.99577597, 0.98122351, 0.78280517, 0.92327439, 0.92175879, 0.89204066, 0.82256446, 0.68446303, 0.92901678, 0.84313612, 0.99421679, 0.73748452, 0.95586202, 0.66993943, 0.2338554, 0.8679967, 0.89232074, 0.5179362, 0.77635846, 0.99168013, 0.98678837, 0.91059219, 0.94238149, 0.98548201, 0.84313612, 0.99421679, 0.73748452, 0.95586202, 0.66993943, 0.2338554, 0.99577597, 0.98122351, 0.78280517, 0.92327439, 0.99168013, 0.98678837, 0.91059219, 0.94238149, 0.98548201, 0.84313612, 0.99421679, 0.73748452, 0.95586202, 0.66993943, 0.2338554
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-20.803555, -454.40441, 1, 0.057384237, 0.047281812, 0.03590776, 0.017727036, 0.45922617, 0.12733833, 0.049878261, 0.20525639, 0.49901217, 1.144051, -0.37812289, 1.2146742, 1.3407202, 1.0068238, 2.7644487, 0.52311952, 2.9642885, -2.322742, -2.2056799, -1.6521173, -3.7303152, -3.9301928, -3.1957877, 5.9943466, 4.4874651, 1.4884669, 1.9513885, 0.9058961, 1.8515505, 0.54622518, 1.6683265, 3.2517896, 3.5289306, 5.4824905, 3.3730059, 8.8386554, 4.070447, 2.7844736, -2.8579856, -3.0516296, -3.3268018, -4.0326643, -0.77821245, -2.0609077, -2.99817, -1.5834954, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.089256912, 0.099241592, 0.160823, 0.023423456, 0.01926159, 0.039324548, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.79260835, 0.73239811, 0.94072419, 0.62787692, 0.95093447, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.62222716, 0.75842264, 0.40657971, 0.77112494, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707, 0.99848883, 0.99642965, 0.75219325, 0.95953699, 0.90435826, 0.94574995, 0.96479318, 0.89947872, 0.99800692, 0.76962388, 0.96362465, 0.84824325, 0.99399023, 0.53500618, 0.39859707
-11.544215, -452.70086, 1, 0.13620335, 0.092025108, 0.026213364, 0.031082123, 0.4599505, 0.058680352, 0.038810552, 0.15703465, 2.1732699, 0.50938932, -0.73947738, 1.7091658, 2.1670472, 1.6027567, 1.8071049, 0.14781567, 2.4033472, -2.5166994, -2.7456007, -1.3110965, -4.2413691, -2.8506651, -3.5053224, 2.8997865, 3.5932028, 1.5252341, 2.0528967, 0.87692718, 2.2301989, 0.49297707, 5.216887, 2.1115046, 3.901678, 5.3710561, 2.4717568, 7.3188327, 3.3937648, 2.3841105, -1.9936063, -2.3856938, -3.6414859, -3.4711224, -0.7766364, -2.8356503, -3.2490631, -1.8512888, 0.89782333, 0.62466331, 0.32311844, 0.84672805, 0.89725107, 0.83240332, 0.85901161, 0.53688678, 0.91708219, 0.074695752, 0.060335586, 0.21230343, 0.014183805, 0.054646949, 0.029161171, 0.99377574, 0.98373902, 0.6869195, 0.97729187, 0.89725107, 0.83240332, 0.85901161, 0.53688678, 0.91708219, 0.074695752, 0.060335586, 0.21230343, 0.014183805, 0.054646949, 0.029161171, 0.89782333, 0.62466331, 0.32311844, 0.84672805, 0.95452167, 0.97881306, 0.90888383, 0.99534294, 0.98917327, 0.074695752, 0.060335586, 0.21230343, 0.014183805, 0.054646949, 0.029161171, 0.89782333, 0.62466331, 0.32311844, 0.84672805, 0.89725107, 0.83240332, 0.85901161, 0.53688678, 0.91708219, 0.7997894, 0.93248199, 0.76145268, 0.95595351, 0.6325332, 0.24578655, 0.99377574, 0.98373902, 0.6869195, 0.97729187, 0.95452167, 0.97881306, 0.90888383, 0.99534294, 0.98917327, 0.074695752, 0.060335586, 0.21230343, 0.014183805, 0.054646949, 0.029161171, 0.99377574, 0.98373902, 0.6869195, 0.97729187, 0.89725107, 0.83240332, 0.85901161, 0.53688678, 0.91708219, 0.7997894, 0.93248199, 0.76145268, 0.95595351, 0.6325332, 0.24578655, 0.89782333, 0.62466331, 0.32311844, 0.84672805, 0.95452167, 0.97881306, 0.90888383, 0.99534294, 0.98917327, 0.7997894, 0.93248199, 0.76145268, 0.95595351, 0.6325332, 0.24578655, 0.99377574, 0.98373902, 0.6869195, 0.97729187, 0.95452167, 0.97881306, 0.90888383, 0.99534294, 0.98917327, 0.7997894, 0.93248199, 0.76145268, 0.95595351, 0.6325332, 0.24578655
-22.80711, -458.81366, 1, 0.080888482, 0.033607045, 0.15771603, 0.029626852, 0.38935477, 0.084253395, 0.088749561, 0.13580387, 3.3597936, 1.2627161, -0.57806989, 2.3620347, 2.9286014, 1.5435885, 2.8351609, 0.72648752, 2.7359173, -2.7496344, -3.7136828, -1.633406, -3.4555805, -2.5302158, -3.6347242, 6.9585042, 3.0491101, 3.0229331, 2.5699602, 1.4135378, 2.0434953, 0.58162995, 2.6875107, 2.8392674, 3.5008802, 5.5740563, 3.1212411, 11.811056, 7.8609911, 3.0148588, -2.5146838, -3.3930196, -1.8469592, -3.5190742, -0.94326434, -2.4739264, -2.4219368, -1.9965436, 0.96642408, 0.77949331, 0.35937683, 0.91388607, 0.94924233, 0.82398578, 0.94454654, 0.67403401, 0.93911307, 0.060107302, 0.023806951, 0.16336431, 0.030602873, 0.073766899, 0.025712624, 0.99996698, 0.98676838, 0.920185, 0.99283954, 0.94924233, 0.82398578, 0.94454654, 0.67403401, 0.93911307, 0.060107302, 0.023806951, 0.16336431, 0.030602873, 0.073766899, 0.025712624, 0.96642408, 0.77949331, 0.35937683, 0.91388607, 0.98715838, 0.97306656, 0.96822519, 0.96813916, 0.99622354, 0.060107302, 0.023806951, 0.16336431, 0.030602873, 0.073766899, 0.025712624, 0.96642408, 0.77949331, 0.35937683, 0.91388607, 0.94924233, 0.82398578, 0.94454654, 0.67403401, 0.93911307, 0.67945009, 0.86534048, 0.81575312, 0.99976495, 0.995183, 0.34981206, 0.99996698, 0.98676838, 0.920185, 0.99283954, 0.98715838, 0.97306656, 0.96822519, 0.96813916, 0.99622354, 0.060107302, 0.023806951, 0.16336431, 0.030602873, 0.073766899, 0.025712624, 0.99996698, 0.98676838, 0.920185, 0.99283954, 0.94924233, 0.82398578, 0.94454654, 0.67403401, 0.93911307, 0.67945009, 0.86534048, 0.81575312, 0.99976495, 0.995183, 0.34981206, 0.96642408, 0.77949331, 0.35937683, 0.91388607, 0.98715838, 0.97306656, 0.96822519, 0.96813916, 0.99622354, 0.67945009, 0.86534048, 0.81575312, 0.99976495, 0.995183, 0.34981206, 0.99996698, 0.98676838, 0.920185, 0.99283954, 0.98715838, 0.97306656, 0.96822519, 0.96813916, 0.99622354, 0.67945009, 0.86534048, 0.81575312, 0.99976495, 0.995183, 0.34981206
